Week,Race,Provided by the children’s school or school district to use outside of school(device),"Provided by someone in the household or family, or it is the child’s(device)",Provided by another source(device),Did not report(device),Paid for by the children’s school or school district(internet),Paid for by someone in the household or family(internet),Paid for by another source(internet),Did not report(internet),Total device(not including DNR),Total internet(not including DNR),"% Provided by someone in the household or family, or it is the child’s(device)",% Provided by the children’s school or school district to use outside of school(device),% Provided by another source(device),% Paid for by someone in the household or family(internet),% Paid for by the children’s school or school district(internet),% Paid for by another source(internet)
1,"Less than \$25,000",154951,84210,12318,13480,3700,248995,0,4542,243757,252695,0.3454670019732767,0.6356781548837572,0.05053393338447716,0.9853578424582995,0.014642157541700469,0.0
1,"\$25,000 - \$34,999",91369,179144,0,0,11076,247229,0,1817,249046,247229,0.719320928663781,0.36687599881146454,0.0,1.0,0.04480056951247629,0.0
1,"\$35,000 - \$49,999",140798,251023,0,9512,1539,324107,0,0,316134,325646,0.7940398691694028,0.4453744298303884,0.0,0.9952740092001744,0.0047259907998255775,0.0
1,"\$50,000 - \$74,999",92409,161685,0,0,0,239055,0,0,239055,239055,0.676350630608019,0.3865595783397126,0.0,1.0,0.0,0.0
1,"\$75,000 - \$99,999",122037,176555,0,11556,0,248832,0,11556,248832,248832,0.7095349472736625,0.4904393325617284,0.0,1.0,0.0,0.0
1,"\$100,000 - \$149,999",41122,195694,0,1897,8345,211891,0,1897,220237,220237,0.8885609593301761,0.18671703664688494,0.0,0.9621044601951534,0.03789099924172596,0.0
1,"\$150,000 - \$199,999",23733,65078,12281,1847,0,71353,0,0,69506,71353,0.936293269645786,0.3414525364716715,0.17668978217707823,1.0,0.0,0.0
1,"\$200,000 and above",9471,56022,0,0,0,61779,0,0,61779,61779,0.9068129947069392,0.15330452095372213,0.0,1.0,0.0,0.0
2,"Less than \$25,000",62510,132684,0,103505,0,180055,0,103505,180055,180055,0.7369081669489879,0.3471716975368637,0.0,1.0,0.0,0.0
2,"\$25,000 - \$34,999",58839,259205,3995,37440,0,317323,0,37440,317323,317323,0.8168490780687186,0.18542305474232879,0.012589695672863298,1.0,0.0,0.0
2,"\$35,000 - \$49,999",77111,81365,0,0,24341,155528,8386,1321,156849,155528,0.5187473302348118,0.4916257037022869,0.0,1.0,0.15650558098863226,0.05391955146340209
2,"\$50,000 - \$74,999",290526,323538,0,0,78279,474394,0,0,474394,474394,0.6820027234745802,0.6124149968169917,0.0,1.0,0.16500841073032121,0.0
2,"\$75,000 - \$99,999",109163,115290,0,0,0,194919,0,0,194919,194919,0.5914764594523879,0.5600428896105561,0.0,1.0,0.0,0.0
2,"\$100,000 - \$149,999",32423,163397,22842,5994,0,183176,0,0,177182,183176,0.9221986432030341,0.18299262904809743,0.12891828741068506,1.0,0.0,0.0
2,"\$150,000 - \$199,999",34586,42631,0,0,8026,58349,0,0,66374,66374,0.6422846295236087,0.5210775303582729,0.0,0.8790942236417875,0.12092084249856871,0.0
2,"\$200,000 and above",0,20761,0,0,0,20761,0,0,20761,20761,1.0,0.0,0.0,1.0,0.0,0.0
3,"Less than \$25,000",63251,93819,136,73174,0,128989,0,73174,128989,128989,0.7273410911007916,0.49035964307033936,0.0010543534720014885,1.0,0.0,0.0
3,"\$25,000 - \$34,999",64826,136986,3218,0,8299,165489,6379,1190,181356,180166,0.7553430821147357,0.3574516420741525,0.017744105516222238,0.9185362388019938,0.04606307516401541,0.03540623647081025
3,"\$35,000 - \$49,999",99520,176085,158,812,0,258102,325,0,257615,258427,0.6835199813675445,0.38631290879801256,0.0006133183238553656,0.9987423914683837,0.0,0.0012576085316162785
3,"\$50,000 - \$74,999",79672,143250,4507,235,564,201828,0,397,202225,202063,0.7083693905303499,0.39397700581035977,0.022287056496476696,0.9988369963823164,0.002791208682440625,0.0
3,"\$75,000 - \$99,999",79818,160855,1193,0,9104,181551,0,0,181551,181551,0.8860044835886335,0.4396450584133384,0.006571156314203722,1.0,0.05014568909011793,0.0
3,"\$100,000 - \$149,999",20661,107661,69,9360,519,116354,0,13127,120121,116354,0.8962712598130219,0.17200156508853573,0.0005744207923676959,1.0,0.004460525637279337,0.0
3,"\$150,000 - \$199,999",20955,36360,46717,0,0,92262,0,0,92262,92262,0.3940950770631463,0.22712492683878518,0.5063514773146041,1.0,0.0,0.0
3,"\$200,000 and above",11678,45728,0,262,0,45990,0,0,45728,45990,1.0,0.25537963610916725,0.0,1.0,0.0,0.0
4,"Less than \$25,000",71231,130993,0,3721,6944,153474,16939,9046,182683,177358,0.7170508476431852,0.3899158651872369,0.0,0.8653345211380372,0.03915244871953901,0.09550739182895612
4,"\$25,000 - \$34,999",119680,37941,0,7678,2775,156559,4302,0,155959,163637,0.24327547624696233,0.7673811706922974,0.0,0.9567457237666298,0.016958267384515727,0.026289897761508706
4,"\$35,000 - \$49,999",27613,54544,3846,0,2126,74849,1399,924,77172,76248,0.7067848442440263,0.3578111232053076,0.049836728347068884,0.9816519777567936,0.027882698562585247,0.01834802224320638
4,"\$50,000 - \$74,999",32225,111790,3173,12026,740,148572,3173,0,140458,152484,0.7958962821626394,0.2294280140682624,0.02259038289025901,0.9743448492956638,0.004852968180268094,0.020808740589176568
4,"\$75,000 - \$99,999",175379,148178,855,0,0,225318,275,0,225592,225592,0.6568406681087982,0.7774167523671052,0.0037900280151778433,0.9987854179226213,0.0,0.001219014858682932
4,"\$100,000 - \$149,999",41883,114171,0,142,0,146523,0,2033,148414,146523,0.7692737881870982,0.2822038352177018,0.0,1.0,0.0,0.0
4,"\$150,000 - \$199,999",15557,64278,0,0,0,66726,0,0,66726,66726,0.9633126517399514,0.23314749872613375,0.0,1.0,0.0,0.0
4,"\$200,000 and above",5235,19654,1101,0,0,25104,0,0,25104,25104,0.7829031230082856,0.20853250478011473,0.04385755258126195,1.0,0.0,0.0
5,"Less than \$25,000",67768,122670,3069,3645,13457,162677,18409,2399,192288,193534,0.6379493260109835,0.35242968880013315,0.015960434348477284,0.8405603149834138,0.06953300195314518,0.09512023727097048
5,"\$25,000 - \$34,999",137798,49924,4206,2051,6627,179434,331,0,184342,186393,0.27082270996300356,0.7475127751678945,0.02281628711850799,0.9626649069439303,0.035553910286330495,0.001775817761396619
5,"\$35,000 - \$49,999",35926,105304,3320,2116,3358,136329,681,2116,140368,140368,0.750199475663969,0.25594152513393365,0.02365211444203807,0.9712256354724723,0.023922831414567424,0.004851533112960219
5,"\$50,000 - \$74,999",83462,140033,8973,14062,2612,209996,9673,12699,219498,220861,0.6379693664634758,0.38024036665482147,0.04087964355028292,0.95080616315239,0.011826442875835933,0.0437967771584843
5,"\$75,000 - \$99,999",48145,91546,2304,0,0,130876,0,0,130876,130876,0.6994865368745988,0.3678672942327088,0.017604450013753478,1.0,0.0,0.0
5,"\$100,000 - \$149,999",64678,94988,0,702,0,134139,0,0,133437,134139,0.7118565315467225,0.4847081394215997,0.0,1.0,0.0,0.0
5,"\$150,000 - \$199,999",92171,81664,238,0,522,146640,0,0,146640,146640,0.5569012547735952,0.6285529187124932,0.0016230223677032188,1.0,0.0035597381342062193,0.0
5,"\$200,000 and above",1407,28201,0,0,393,28717,0,0,29111,29111,0.9687403387035829,0.04833224554292192,0.0,0.9864655971969358,0.013500051526914225,0.0
6,"Less than \$25,000",123846,34111,4522,6325,0,122467,11831,34090,151266,123501,0.22550341782026365,0.8187299194795923,0.029894358282760172,0.9916275981570999,0.0,0.09579679516765047
6,"\$25,000 - \$34,999",134936,100473,1109,585,14725,203722,0,0,217862,218447,0.4611772589988158,0.6193645518722861,0.005090378312876959,0.9325923450539491,0.06740765494605098,0.0
6,"\$35,000 - \$49,999",66922,73659,0,0,0,132201,1206,0,133407,133407,0.5521374440621557,0.5016378450905874,0.0,0.9909599946029819,0.0,0.009040005397018148
6,"\$50,000 - \$74,999",54601,212960,28471,0,2136,287417,0,0,287417,287417,0.7409443421927026,0.1899713656464301,0.09905816287832661,1.0,0.007431710719964372,0.0
6,"\$75,000 - \$99,999",36620,119368,23907,0,1570,169362,0,0,170932,170932,0.6983361804694265,0.21423724054009782,0.13986263543397373,0.9908150609599139,0.009184939040086116,0.0
6,"\$100,000 - \$149,999",37922,80646,6684,1570,1252,98849,0,0,98531,100101,0.8184835229521673,0.38487379606418287,0.0678365184561204,0.9874926324412343,0.012507367558765647,0.0
