Week,Race,"Household experienced loss of employment income since March 13, 2020","Household did not experience loss of employment income since March 13, 2020","Household did report loss of employment income since March 13, 2020",Household expects loss of employment income in next 4 weeks,Household does not expect loss of employment income in next 4 weeks,Household did not report expecting loss of employment income in next 4 weeks,"Total Experienced loss of employment income since March 13, 2020",Total Expected loss of employment income in next 4-weeks,"% Household experienced loss of employment income since March 13, 2020","% Household did not experience loss of employment income since March 13, 2020",% Household expects loss of employment income in next 4 weeks,% Household does not expect loss of employment income in next 4 weeks
1,"Less than \$25,000",351938,235774,0,334226,253487,0,559487,559487,0.6290369570696013,0.42141104261582485,0.5973793850437991,0.45307040199325455
1,"\$25,000 - \$34,999",355851,234716,1264,361509,230322,0,563605,563605,0.6313836818339085,0.41645478659699614,0.6414226275494362,0.40865854632233567
1,"\$35,000 - \$49,999",367914,458110,0,311785,514239,0,797798,797798,0.46116184798658305,0.5742180351417276,0.3908069461191931,0.6445729370091176
1,"\$50,000 - \$74,999",358716,246643,0,343099,260720,1539,577133,577133,0.6215482393139883,0.4273590316270253,0.5944886187412607,0.4517502897945534
1,"\$75,000 - \$99,999",343956,306664,0,395455,248907,6259,622395,622395,0.5526329742366183,0.4927160404566232,0.635376248202508,0.39991805846769335
1,"\$100,000 - \$149,999",266808,284809,0,193409,356862,1346,523391,523391,0.5097680319302396,0.544161057412145,0.3695306186006255,0.681826779596898
1,"\$150,000 - \$199,999",60672,78494,2261,62999,76168,2261,113202,113202,0.5359622621508454,0.693397643151181,0.5565184360700342,0.6728503029981803
1,"\$200,000 and above",49251,101818,0,28405,122664,0,122843,122843,0.4009263857118436,0.8288465765245069,0.23123010672158772,0.9985428555147627
2,"Less than \$25,000",517973,151625,0,393928,275669,0,668611,668611,0.7747000871956937,0.22677610748252722,0.5891736749769297,0.4123010240633193
2,"\$25,000 - \$34,999",307533,189190,0,244193,252529,0,495735,495735,0.6203576507609913,0.38163534953150374,0.4925877737097441,0.509403209375977
2,"\$35,000 - \$49,999",327777,218644,0,106277,440144,0,545433,545433,0.6009482374553795,0.40086316742844674,0.19484886319676295,0.8069625416870633
2,"\$50,000 - \$74,999",581153,179357,0,460278,300232,0,759523,759523,0.7651552355886524,0.23614426422899637,0.6060092979409445,0.3952902018767042
2,"\$75,000 - \$99,999",359663,243185,0,201850,400998,0,601861,601861,0.5975848244029768,0.404055089131876,0.33537644073963924,0.6662634727952135
2,"\$100,000 - \$149,999",264725,180848,0,206865,237950,758,444586,444586,0.5954416018498109,0.40677844106652034,0.46529805257025636,0.5352170333748701
2,"\$150,000 - \$199,999",51192,97751,0,36561,112381,0,147956,147956,0.3459947551974911,0.6606761469626105,0.2471072481007867,0.7595568952931953
2,"\$200,000 and above",33022,38625,0,29418,42230,0,70661,70661,0.46732992739983864,0.5466240217375922,0.4163258374492294,0.5976422637664341
3,"Less than \$25,000",402771,152655,5635,366429,188959,5673,549877,549877,0.7324747170730909,0.27761663062830416,0.6663835730536102,0.3436386682839981
3,"\$25,000 - \$34,999",336772,97656,0,292735,141693,0,423244,423244,0.7956923193240778,0.23073215450189488,0.6916459536343103,0.3347785201916625
3,"\$35,000 - \$49,999",209373,314116,0,127464,388636,7389,512305,512305,0.4086881837967617,0.6131425615600082,0.24880491113692038,0.7586027854500736
3,"\$50,000 - \$74,999",412485,233025,0,282376,363134,0,634326,634326,0.6502728880733251,0.3673584245324959,0.44515911376799944,0.5724721988378215
3,"\$75,000 - \$99,999",386550,218491,0,239815,365226,0,593857,593857,0.650914277342862,0.36791853931165247,0.4038261736411291,0.6150066430133854
